"description","total_orders","units_sold","total_revenue"
"PAPER BUNTING RETRO SPOTS",783,8296,24945.74
"REGENCY TEAPOT ROSES ",416,2770,24918.93
"ALARM CLOCK BAKELIKE PINK",969,6374,24907.27
"HANGING JAM JAR T-LIGHT HOLDER",925,30764,24894.46
"DOOR MAT UNION FLAG",673,3780,24808.26
"ZINC METAL HEART DECORATION",1408,20251,24805.67
"SWEETHEART CERAMIC TRINKET BOX",1482,19767,24618.13
"BLUE HAPPY BIRTHDAY BUNTING",690,4830,24570.25
"JUMBO BAG VINTAGE DOILY ",711,11464,24522.36
"LUNCH BAG SUKI  DESIGN ",1279,14719,24520.35
"SET OF 6 SPICE TINS PANTRY DESIGN",835,5984,24507.36
"3 HOOK PHOTO SHELF ANTIQUE WHITE",661,3202,24249.96
"VICTORIAN SEWING BOX LARGE",526,1692,24153.59
"PINK REGENCY TEACUP AND SAUCER",1024,8088,24105.67
"VINTAGE SNAP CARDS",1888,27942,24095.60
"PACK OF 72 RETRO SPOT CAKE CASES",1410,46755,24069.28
"RED KITCHEN SCALES",950,2743,24045.03
"VINTAGE HEADS AND TAILS CARD GAME ",1313,18585,23993.23
"SET/5 RED RETROSPOT LID GLASS BOWLS",1147,8261,23911.39
"CREAM CUPID HEARTS COAT HANGER",843,7386,23834.62
"JUMBO BAG 50'S CHRISTMAS ",716,10306,23815.75
"WOODEN CROQUET GARDEN SET",642,1846,23743.77
"NO SINGING METAL SIGN",1152,11683,23573.44
"SET OF TEA COFFEE SUGAR TINS PANTRY",470,4805,23514.17
"PLASTERS IN TIN WOODLAND ANIMALS",1275,13854,23329.36
"GREY HEART HOT WATER BOTTLE",996,6059,23172.82
"WOODEN ROUNDERS GARDEN SET ",744,2556,23139.30
"HANGING HEART ZINC T-LIGHT HOLDER",1523,27231,22946.04
"PACK OF 6 BIRDY GIFT TAGS",1084,18333,22903.92
"ASSORTED COLOUR MINI CASES",766,3156,22806.51
"CERAMIC CAKE STAND + HANGING CAKES",477,2418,22702.46
"PLASTERS IN TIN CIRCUS PARADE ",1196,13797,22694.13
"CHRISTMAS LIGHTS 10 REINDEER",483,2710,22645.32
"HOMEMADE JAM SCENTED CANDLES",709,15087,22459.25
"DOORMAT SPOTTY HOME SWEET HOME",744,2903,22118.44
"WOODEN UNION JACK BUNTING",774,3597,21910.64
"PICNIC BASKET WICKER SMALL",922,3808,21891.17
"NATURAL SLATE CHALKBOARD LARGE ",835,4462,21883.98
"JUMBO BAG VINTAGE LEAF",879,10962,21852.81
"15CM CHRISTMAS GLASS BALL 20 LIGHTS",517,2755,21826.90
"DOORMAT ENGLISH ROSE ",526,3293,21766.33
"PACK OF 72 SKULL CAKE CASES",1481,40733,21734.85
"FELTCRAFT CUSHION RABBIT",807,5805,21579.79
"RETRO SPOT TEA SET CERAMIC 11 PC ",771,4447,21345.59
"ENAMEL BREAD BIN CREAM",739,1560,21305.96
"HEART FILIGREE DOVE  SMALL",861,17127,21217.02
"BAKING SET SPACEBOY DESIGN",942,4389,21162.89
"PAPER CHAIN KIT RETRO SPOT",591,7582,21160.64
"RED SPOTTY BISCUIT TIN",897,5305,21102.06
"FELTCRAFT CUSHION OWL",875,5692,21056.50
"FELTCRAFT CUSHION BUTTERFLY",784,5731,20924.96
"LUNCH BAG APPLE DESIGN",1036,12183,20911.98
"STRAWBERRY CHARLOTTE BAG",1379,18485,20677.62
"LADIES & GENTLEMEN METAL SIGN",1110,8519,20668.23
"GROW A FLYTRAP OR SUNFLOWER IN TIN",350,17899,20499.08
"DOORMAT WELCOME PUPPIES",428,3433,20360.95
"FELTCRAFT DOLL MOLLY",810,7413,20345.77
"PAPER CHAIN KIT RETROSPOT",810,6426,20218.42
"VINTAGE UNION JACK CUSHION COVER",626,3745,20164.64
"CLOTHES PEGS RETROSPOT PACK 24 ",1202,14281,20163.07
"METAL SIGN TAKE IT OR LEAVE IT ",881,7048,19970.24
"FAMILY ALBUM WHITE PICTURE FRAME",701,2326,19956.30
"LUNCH BAG PINK POLKADOT",1281,11987,19888.83
"POTTERING IN THE SHED METAL SIGN",1135,9813,19864.32
"WOODEN SCHOOL COLOURING SET",904,11778,19752.09
"RED RETROSPOT PICNIC BAG",935,6707,19680.05
"HAND WARMER UNION JACK",858,9544,19617.73
"SILVER HANGING T-LIGHT HOLDER",693,12286,19568.46
"CLASSIC METAL BIRDCAGE PLANT HOLDER",419,1785,19541.46
"CHOCOLATE THIS WAY METAL SIGN",974,9865,19534.11
"ENAMEL FLOWER JUG CREAM",798,3247,19517.11
"ANTIQUE SILVER T-LIGHT GLASS",689,14688,19411.62
"RECORD FRAME 7"" SINGLE SIZE ",555,7861,19371.46
"WHITE METAL LANTERN",701,4923,19333.31
"LARGE CAKE STAND  HANGING STRAWBERY",520,2189,19300.47
"ANTIQUE SILVER TEA GLASS ENGRAVED",680,16199,19223.04
"CHICK GREY HOT WATER BOTTLE",864,4815,19113.15
"PLASTERS IN TIN STRONGMAN",956,11677,18920.97
"LUNCH BAG SUKI DESIGN ",1084,10332,18750.58
"MULTI COLOUR SILVER T-LIGHT HOLDER",653,22662,18617.80
"SET/3 RED GINGHAM ROSE STORAGE BOX",814,4751,18551.70
"FELTCRAFT BUTTERFLY HEARTS",1132,13175,18425.55
"MEMO BOARD COTTAGE DESIGN",744,3826,18357.68
"TRADITIONAL MODELLING CLAY",742,15226,18313.05
"BLUE HARMONICA IN BOX ",963,13311,18198.10
"DELUXE SEWING KIT ",597,2689,18177.57
"HOT WATER BOTTLE BABUSHKA ",436,3879,18156.72
"BREAD BIN DINER STYLE IVORY",472,1142,18147.54
"HEART IVORY TRELLIS SMALL",969,13981,18064.10
"SINGLE HEART ZINC T-LIGHT HOLDER",1145,17884,17948.95
"PLASTERS IN TIN VINTAGE PAISLEY ",1126,10620,17834.26
"PAINTED METAL PEARS ASSORTED",739,10652,17738.89
"RED RETROSPOT TRADITIONAL TEAPOT ",570,2419,17658.46
"WOODEN BOX OF DOMINOES",1123,13231,17636.32
"72 SWEETHEART FAIRY CAKE CASES",1460,35438,17585.16
"ENGLISH ROSE DESIGN QUILTED THROW",83,816,17477.66
"SET OF 3 COLOURED  FLYING DUCKS",380,3311,17392.75
"60 CAKE CASES VINTAGE CHRISTMAS",1039,28744,17329.49
"HAND WARMER RED RETROSPOT",733,8478,17283.67
"JUMBO BAG DOILEY PATTERNS",514,8895,17272.85
"TRAVEL SEWING KIT",830,10163,17265.28
"DOORMAT BLACK FLOCK ",345,2931,17260.87
"JUMBO BAG SCANDINAVIAN BLUE PAISLEY",662,8414,17245.93
"STRAWBERRY LUNCH BOX WITH CUTLERY",1038,6891,17224.73
"CHILDRENS CUTLERY POLKADOT PINK",423,3953,16874.27
"HOME SWEET HOME METAL SIGN ",721,6058,16865.40
"VINTAGE CREAM 3 BASKET CAKE STAND",494,1739,16794.94
"RETRO SPOT CAKE STAND",340,1518,16603.76
"WHITE WOOD GARDEN PLANT LADDER",898,1647,16569.30
"SET OF 4 PANTRY JELLY MOULDS",1073,12672,16507.23
"SET OF 20 KIDS COOKIE CUTTERS",796,7909,16504.32
"HEART IVORY TRELLIS LARGE",833,9974,16456.86
"LUNCH BAG DOLLY GIRL DESIGN",994,10069,16421.11
"GARDENERS KNEELING PAD KEEP CALM ",913,8825,16357.05
"CHILDS BREAKFAST SET SPACEBOY ",499,1726,16313.05
"RED RETROSPOT UMBRELLA",514,2784,16208.84
"SET OF 3 NOTEBOOKS IN PARCEL",795,9541,16205.74
"SET OF 6 SOLDIER SKITTLES",705,4151,16201.07
"CHILDS BREAKFAST SET DOLLY GIRL ",485,1693,16133.79
"HOME SWEET HOME MUG",755,14187,16126.02
"FELTCRAFT CHRISTMAS FAIRY",586,3672,16090.04
"DOORMAT WELCOME TO OUR HOME",606,2141,16041.34
"DOORMAT 3 SMILEY CATS",436,2476,15983.66
"DOORMAT HOME SWEET HOME BLUE ",437,2543,15945.72
"PICTURE FRAME WOOD TRIPLE PORTRAIT",575,2422,15908.66
"DOOR MAT RED SPOT",412,2486,15897.24
"RED DINER WALL CLOCK",616,1878,15896.98
"VINTAGE CHRISTMAS BUNTING",401,2997,15833.31
"FELTCRAFT PRINCESS CHARLOTTE DOLL",685,3876,15808.58
"PINK 3 PIECE MINI DOTS CUTLERY SET",448,4359,15785.90
"METAL 4 HOOK HANGER FRENCH CHATEAU",997,5142,15783.70
"RED RETROSPOT MINI CASES",508,2151,15782.91
"SET OF 20 VINTAGE CHRISTMAS NAPKINS",1086,17706,15779.53
"RED RETROSPOT ROUND CAKE TINS",465,1469,15757.39
"TRADITIONAL WOODEN SKIPPING ROPE",835,12282,15756.65
"RED 3 PIECE MINI DOTS CUTLERY SET",500,4258,15753.53
"SET/6 RED SPOTTY PAPER PLATES",984,20161,15723.97
"SET OF 3 HEART COOKIE CUTTERS",1248,11784,15596.13
"ALARM CLOCK BAKELIKE IVORY",746,3877,15567.79
"WOODEN ADVENT CALENDAR CREAM",275,992,15485.22
"RED/WHITE DOTS RUFFLED UMBRELLA",421,3463,15482.83
"AREA PATROLLED METAL SIGN",796,7637,15461.77
"PINK HEART SHAPE EGG FRYING PAN",715,10529,15443.92
"PACK OF 60 DINOSAUR CAKE CASES",1303,31575,15381.95
"BEWARE OF THE CAT METAL SIGN ",966,9450,15359.80
"ZINC FOLKART SLEIGH BELLS",692,8447,15257.26
"WOODEN SKITTLES GARDEN SET",374,1077,15009.54
"VINTAGE SNAKES & LADDERS",828,3800,14968.49
"BROCADE RING PURSE ",456,71430,14959.19
"OPEN CLOSED METAL SIGN",651,2996,14832.05
"SET OF 2 WOODEN MARKET CRATES",419,1109,14779.84
"RED SPOTTY ROUND CAKE TINS",463,1492,14725.64
"WOODEN HAPPY BIRTHDAY GARLAND",651,5057,14672.98
"LUNCH BOX WITH CUTLERY RETROSPOT ",886,5770,14611.03
"VICTORIAN SEWING BOX SMALL ",655,2413,14564.08
"WHITE SPOT RED CERAMIC DRAWER KNOB",815,11210,14529.81
"VICTORIAN SEWING BOX MEDIUM",532,1596,14505.73
"BLUE 3 PIECE MINI DOTS CUTLERY SET",478,3978,14483.13
"HEART FILIGREE DOVE LARGE",706,8740,14426.65
"YOU'RE CONFUSING ME METAL SIGN ",772,8941,14426.42
"MINT KITCHEN SCALES",653,1642,14424.68
"LUNCH BAG PINK RETROSPOT",810,8932,14421.42
"SET OF 3 BUTTERFLY COOKIE CUTTERS",1114,10540,14338.18
"KENSINGTON COFFEE SET",183,1604,14317.98
"SWEETHEART CAKESTAND 3 TIER",526,1431,14287.65
"GROW YOUR OWN PLANT IN A CAN ",453,10419,14233.65
"FELTCRAFT DOLL ROSIE",787,4966,14218.25
"FULL ENGLISH BREAKFAST PLATE",642,3436,14216.43
"CHRISTMAS TOILET ROLL",596,9038,14212.96
"JUMBO BAG PEARS",595,7071,14197.28
"BINGO SET",825,3586,14171.59
"CAKE STAND 3 TIER MAGIC GARDEN",421,1141,14122.42
"BLUE STRIPE CERAMIC DRAWER KNOB",805,10763,14092.17
"WOODEN BOX ADVENT CALENDAR ",419,1443,14070.70
"DOORMAT AIRMAIL ",429,2107,14063.95
"RED STRIPE CERAMIC DRAWER KNOB",825,10464,14053.29
"IVORY DINER WALL CLOCK",500,1695,13995.85
"JUMBO BAG VINTAGE CHRISTMAS ",476,6081,13978.95
"SAVE THE PLANET MUG",779,11698,13955.91
"TRADITIONAL KNITTING NANCY",875,8775,13863.41
"SET/20 RED RETROSPOT PAPER NAPKINS ",1181,16125,13838.08
"CHILDS BREAKFAST SET CIRCUS PARADE",489,1664,13821.23
"PINK CHERRY LIGHTS",265,2281,13787.93
"FRYING PAN UNION FLAG",480,3187,13724.41
"DOUGHNUT LIP GLOSS ",344,10415,13720.77
"TEA TIME TEA TOWELS ",453,5206,13717.61
"DOORMAT MULTICOLOUR STRIPE",257,2358,13717.39
"BREAD BIN DINER STYLE RED ",344,853,13716.47
" SET 2 TEA TOWELS I LOVE LONDON ",459,4247,13668.33
"FILIGRIS HEART WITH BUTTERFLY",588,11025,13662.97
"WHITE SPOT BLUE CERAMIC DRAWER KNOB",763,10276,13568.06
"CHARLOTTE BAG PINK POLKADOT",906,11433,13545.74
"PLASTERS IN TIN SKULLS",1090,8084,13529.26
"3 STRIPEY MICE FELTCRAFT",809,7277,13497.42
"LOVE HOT WATER BOTTLE",476,2386,13494.97
"ADVENT CALENDAR GINGHAM SACK",495,2362,13420.52
"LUNCH BAG ALPHABET DESIGN",740,7851,13360.20
"SUKI  SHOULDER BAG",921,7209,13353.81
"BAG 250g SWIRLY MARBLES",568,17304,13347.60
"SET OF 10 LED DOLLY LIGHTS",372,2221,13303.02
"DOORMAT UNION JACK GUNS AND ROSES",341,2198,13290.64
"SET 6 SCHOOL MILK BOTTLES IN CRATE",405,2845,13284.49
"HANGING METAL HEART LANTERN",784,8012,13277.22
"CERAMIC STRAWBERRY CAKE MONEY BANK",880,9309,13232.41
"PINK PAPER PARASOL ",250,4970,13228.55
"DOOR MAT NEW ENGLAND",464,2026,13224.08
"PHOTO FRAME CORNICE",640,4475,13209.49
"3 TIER CAKE TIN RED AND CREAM",263,912,13195.76
"LARGE CIRCULAR MIRROR MOBILE",344,13993,13186.31
"PHARMACIE FIRST AID TIN",424,1819,13184.05
"VINTAGE RED KITCHEN CABINET",53,77,13140.00
"EDWARDIAN PARASOL PINK",382,2579,13126.04
"WOODEN ADVENT CALENDAR RED",209,1026,13111.85
"PAPER BUNTING COLOURED LACE",619,4409,13109.34
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",498,2445,13104.69
"DOORMAT TOPIARY",337,2107,13087.03
"SET OF 72 PINK HEART PAPER DOILIES",1019,8404,13075.15
"CHRISTMAS CRAFT LITTLE FRIENDS",704,5382,13024.09
"PACK OF 6 PANNETONE GIFT BOXES",571,5058,12930.16
"PINK FAIRY CAKE CHILDRENS APRON",823,6370,12817.40
"RETROSPOT CHILDRENS APRON",634,6889,12816.93
"CHRISTMAS LIGHTS 10 VINTAGE BAUBLES",356,2607,12813.52
"CANDLEHOLDER PINK HANGING HEART",594,4513,12797.12
"PACK OF 12 LONDON TISSUES ",825,40163,12764.06
"DOORMAT RESPECTABLE HOUSE",320,1978,12753.24
"COFFEE MUG APPLES DESIGN",540,5452,12734.78
"HAND WARMER BABUSHKA DESIGN",592,7568,12708.45
"BOX OF VINTAGE JIGSAW BLOCKS ",541,2357,12687.38
"RIBBON REEL STRIPES DESIGN ",957,7535,12682.97
"CHILDRENS CUTLERY RETROSPOT RED ",317,2907,12604.23
"COFFEE MUG CAT + BIRD DESIGN",643,5152,12522.06
"RED RETROSPOT SMALL MILK JUG",814,5081,12517.59
"BLACK/BLUE DOTS RUFFLED UMBRELLA",311,2980,12509.02
"RED SPOT CERAMIC DRAWER KNOB",727,9590,12474.38
"SOMBRERO ",127,9570,12456.70
"CIRCUS PARADE LUNCH BOX ",662,6333,12379.71
"CHILDRENS CUTLERY POLKADOT BLUE",289,2848,12371.12
"REGENCY SUGAR BOWL GREEN",322,3057,12350.73
"T-LIGHT GLASS FLUTED ANTIQUE",434,9946,12336.71
"RED FLORAL FELTCRAFT SHOULDER BAG",613,3294,12315.10
"BLUE DINER WALL CLOCK",543,1446,12291.76
"BLUE SPOT CERAMIC DRAWER KNOB",767,8997,12287.34
"ALARM CLOCK BAKELIKE ORANGE",612,3098,12272.63
"ANTIQUE LILY FAIRY LIGHTS",292,2686,12239.51
" WHITE CHERRY LIGHTS",243,2026,12198.66
"SET/20 RED SPOTTY PAPER NAPKINS ",942,15698,12193.89
"FELTCRAFT PRINCESS LOLA DOLL",647,3237,12121.47
"STRAWBERRY   PICNIC BAG",657,4123,12118.51
"ROSE COTTAGE KEEPSAKE BOX ",306,1199,12002.01
"SET3 BOOK BOX GREEN GINGHAM FLOWER ",465,2939,11992.93
"AGED GLASS SILVER T-LIGHT HOLDER",643,18356,11972.48
"ASSORTED FLOWER COLOUR ""LEIS""",277,24801,11966.04
"TEA TIME KITCHEN APRON",351,2202,11925.11
"PIGGY BANK RETROSPOT ",598,4624,11915.48
"LARGE POPCORN HOLDER ",554,6797,11904.42
"SET OF 36 TEATIME PAPER DOILIES",812,8154,11896.70
"NATURAL SLATE RECTANGLE CHALKBOARD",808,6954,11879.17
"RED SPOT HEART HOT WATER BOTTLE",455,2467,11861.76
"BABUSHKA LIGHTS STRING OF 10",413,1778,11853.38
"FIRST AID TIN",534,3591,11821.18
"GARDENERS KNEELING PAD CUP OF TEA ",758,6827,11815.69
"DOORSTOP RETROSPOT HEART",697,2933,11787.79
"RED GINGHAM ROSE JEWELLERY BOX",997,6593,11785.98
"PLACE SETTING WHITE HEART",716,27897,11754.85
"SOLDIERS EGG CUP ",446,9748,11753.72
"SWEETHEART RECIPE BOOK STAND",498,1666,11731.06
"STRAWBERRY FAIRY CAKE TEAPOT",482,2324,11693.17
"CHILDRENS APRON SPACEBOY DESIGN",846,5836,11663.64
"JUMBO BAG PAISLEY PARK",338,5035,11613.03
"RETRO COFFEE MUGS ASSORTED",492,7504,11582.36
"WICKER STAR ",858,5136,11576.10
"DOOR MAT FAIRY CAKE",386,1731,11562.27
"JUMBO BAG DOLLY GIRL DESIGN",688,5793,11531.86
"TWO DOOR CURIO CABINET",262,887,11503.15
"PARTY METAL SIGN ",971,7759,11492.22
"FAMILY PHOTO FRAME CORNICE",354,1197,11484.06
"VINTAGE CREAM DOG FOOD CONTAINER",489,1206,11437.58
"POTTING SHED TEA MUG",881,9255,11408.72
"RECIPE BOX RETROSPOT ",670,4053,11384.35
"PINK PARTY BAGS",369,6046,11348.58
"4 TRADITIONAL SPINNING TOPS",841,8361,11343.55
"UNION STRIPE WITH FRINGE  HAMMOCK",388,1452,11297.82
"PARTY CONE CHRISTMAS DECORATION ",424,9972,11290.02
"SET/6 PINK  BUTTERFLY T-LIGHTS",499,5821,11271.04
"PACK OF 60 SPACEBOY CAKE CASES",1103,21641,11258.89
"CAMOUFLAGE LED TORCH",444,6563,11218.49
"RED RETROSPOT PEG BAG",605,4069,11203.92
"RED RETROSPOT MUG",340,3956,11195.96
"RED 3 PIECE RETROSPOT CUTLERY SET",287,2762,11163.62
"REGENCY TEA PLATE ROSES ",445,6869,11117.05
"GLITTER BUTTERFLY CLIPS",607,4481,11095.91
"I'M ON HOLIDAY METAL SIGN",771,5264,11068.43
"SET 10 LIGHTS NIGHT OWL",396,1588,11045.02
"PHOTO CUBE",557,5449,11036.30
"SET/2 RED RETROSPOT TEA TOWELS ",503,3427,11013.05
"SET OF 72 RETROSPOT PAPER  DOILIES",607,7578,11007.86
"CALENDAR PAPER CUT DESIGN",463,3532,11003.04
"SET/10 RED POLKADOT PARTY CANDLES",485,9108,10977.31
"FELTCRAFT DOLL EMILY",656,3834,10973.70
